Year	ACCESS1-0	bcc-csm1-1-m	bcc-csm1-1	CanESM2	CCSM4	CNRM-CM5	CSIRO-Mk3-6-0	FGOALS-s2	GFDL-CM3	GFDL-ESM2G	GFDL-ESM2M	GISS-E2-R	HadGEM2-ES	inmcm4	IPSL-CM5A-LR	MIROC-ESM	MIROC5	MPI-ESM-LR	MRI-CGCM3	NorESM1-M
2086	5.670	6.441	6.481	7.739	7.853	6.335	5.138	8.966	6.087	6.054	6.470	8.262	5.626	6.917	6.626	7.529	8.042	7.129	6.290	6.761
2087	5.741	6.480	6.635	7.868	8.046	6.415	5.164	9.025	6.165	6.148	6.549	8.305	5.588	6.978	6.634	7.653	8.146	7.301	6.575	6.948
2088	5.956	6.423	6.701	7.919	8.294	6.494	5.220	9.168	6.175	6.285	6.579	8.338	5.710	7.032	6.753	7.664	8.262	7.416	6.506	6.871
2089	5.936	6.625	6.734	7.939	8.457	6.579	5.274	9.288	6.504	6.166	6.668	8.380	5.678	7.157	6.798	7.837	8.372	7.449	6.520	7.045
2090	6.141	6.796	6.871	8.060	8.450	6.689	5.407	9.547	6.591	6.262	6.833	8.422	5.744	7.242	6.979	7.903	8.404	7.483	6.582	6.909
2091	6.344	6.702	6.949	8.207	8.483	6.716	5.473	9.617	6.717	6.196	7.080	8.428	5.736	7.282	7.000	7.985	8.445	7.605	6.655	6.946
2092	6.323	6.994	6.946	8.214	8.499	6.807	5.586	9.786	6.862	6.362	7.164	8.466	5.754	7.325	7.087	7.946	8.523	7.655	6.501	6.909
2093	6.217	7.124	7.099	8.356	8.449	6.862	5.631	9.845	6.994	6.387	7.368	8.528	5.737	7.285	7.108	8.241	8.615	7.722	6.650	6.992
2094	6.306	7.250	7.104	8.439	8.362	6.862	5.713	9.856	7.039	6.430	7.439	8.657	5.813	7.264	7.201	8.304	8.782	7.865	6.745	6.933
2095	6.381	7.291	7.121	8.521	8.221	6.829	5.689	9.852	7.058	6.518	7.326	8.721	5.848	7.254	7.185	8.529	8.932	7.889	6.907	6.887
2096	6.207	7.243	7.155	8.572	8.321	6.943	5.686	10.083	7.054	6.571	7.307	8.906	5.923	7.235	7.253	8.534	9.021	7.923	6.976	7.053
2097	6.129	7.230	7.218	8.662	8.411	6.966	5.744	10.132	7.149	6.556	7.336	8.987	6.055	7.289	7.279	8.705	9.037	8.004	7.160	7.077
2098	6.293	5.739	7.295	8.712	8.404	7.041	5.786	10.275	7.140	6.535	7.213	9.077	6.138	7.357	7.367	8.645	9.066	8.147	7.247	7.272
2099	6.388	5.230	7.380	8.770	8.468	7.127	5.780	10.431	7.155	6.535	7.204	9.088	6.174	7.338	7.412	8.710	9.032	8.164	7.288	7.346
2100	6.311	4.621	7.433	8.787	8.550	7.170	5.789	10.531	7.118	6.471	7.222	9.116	6.202	7.354	7.479	8.671	9.077	8.226	7.261	7.460
