Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.236	1.236	1.236
OBS_CW14	1.333	1.333	1.333
OBS_BEST	1.371	1.371	1.371
ACCESS1-0_r1i1p1	2.284	2.104	1.865
ACCESS1-3_r1i1p1	1.204	1.101	0.961
CCSM4_r1i1p1	1.571	1.469	1.281
CCSM4_r2i1p1	1.567	1.463	1.317
CCSM4_r3i1p1	1.440	1.344	1.182
CCSM4_r4i1p1	1.589	1.488	1.307
CCSM4_r5i1p1	1.584	1.474	1.298
CCSM4_r6i1p1	1.516	1.410	1.268
CESM1-BGC_r1i1p1	2.107	1.959	1.755
CESM1-CAM5_r1i1p1	1.444	1.325	1.151
CESM1-CAM5_r2i1p1	1.321	1.206	1.038
CESM1-CAM5_r3i1p1	1.547	1.422	1.210
CMCC-CMS_r1i1p1	1.030	0.958	0.912
CMCC-CM_r1i1p1	1.329	1.224	1.100
CNRM-CM5_r10i1p1	2.281	2.037	1.713
CNRM-CM5_r1i1p1	1.846	1.646	1.428
CNRM-CM5_r2i1p1	1.803	1.618	1.352
CNRM-CM5_r4i1p1	2.011	1.811	1.601
CNRM-CM5_r6i1p1	2.232	2.009	1.713
CSIRO-Mk3-6-0_r10i1p1	2.407	2.259	1.880
CSIRO-Mk3-6-0_r1i1p1	2.342	2.208	1.949
CSIRO-Mk3-6-0_r2i1p1	2.407	2.270	2.086
CSIRO-Mk3-6-0_r3i1p1	2.516	2.375	2.144
CSIRO-Mk3-6-0_r4i1p1	2.154	2.027	1.839
CSIRO-Mk3-6-0_r5i1p1	2.593	2.439	2.078
CSIRO-Mk3-6-0_r6i1p1	2.182	2.056	1.640
CSIRO-Mk3-6-0_r7i1p1	2.375	2.234	1.918
CSIRO-Mk3-6-0_r8i1p1	2.242	2.094	1.892
CSIRO-Mk3-6-0_r9i1p1	1.824	1.714	1.478
CanESM2_r1i1p1	1.929	1.779	1.588
CanESM2_r2i1p1	1.720	1.589	1.455
CanESM2_r3i1p1	1.849	1.707	1.549
CanESM2_r4i1p1	1.851	1.730	1.634
CanESM2_r5i1p1	1.846	1.704	1.558
EC-EARTH_r12i1p1	1.736	1.580	1.432
EC-EARTH_r1i1p1	2.011	1.836	1.648
EC-EARTH_r2i1p1	2.017	1.833	1.600
EC-EARTH_r8i1p1	2.155	1.967	1.724
EC-EARTH_r9i1p1	2.040	1.871	1.660
FIO-ESM_r1i1p1	1.628	1.494	1.324
FIO-ESM_r2i1p1	1.597	1.471	1.367
FIO-ESM_r3i1p1	1.743	1.601	1.426
GFDL-CM3_r1i1p1	1.636	1.491	1.364
GFDL-ESM2G_r1i1p1	1.300	1.213	1.192
GFDL-ESM2M_r1i1p1	1.565	1.454	1.467
GISS-E2-H-CC_r1i1p1	2.151	1.966	1.768
GISS-E2-H_r1i1p1	1.798	1.632	1.402
GISS-E2-H_r1i1p2	1.686	1.524	1.230
GISS-E2-H_r1i1p3	2.048	1.870	1.637
GISS-E2-H_r2i1p1	1.806	1.641	1.354
GISS-E2-H_r2i1p3	2.205	2.021	1.707
GISS-E2-R-CC_r1i1p1	1.579	1.434	1.319
GISS-E2-R_r1i1p1	1.172	1.066	0.971
GISS-E2-R_r1i1p2	1.078	0.982	0.863
GISS-E2-R_r1i1p3	1.294	1.181	1.097
GISS-E2-R_r2i1p1	1.271	1.162	1.080
GISS-E2-R_r2i1p3	1.366	1.256	1.171
HadGEM2-AO_r1i1p1	1.610	1.464	1.321
HadGEM2-CC_r1i1p1	0.843	0.765	0.658
HadGEM2-ES_r1i1p1	2.198	1.983	1.781
HadGEM2-ES_r2i1p1	2.325	2.122	1.909
HadGEM2-ES_r3i1p1	2.159	1.972	1.662
HadGEM2-ES_r4i1p1	2.913	2.670	2.353
IPSL-CM5A-LR_r1i1p1	2.322	2.156	2.120
IPSL-CM5A-LR_r2i1p1	2.285	2.121	2.077
IPSL-CM5A-LR_r3i1p1	2.107	1.969	1.982
IPSL-CM5A-LR_r4i1p1	2.227	2.064	2.077
IPSL-CM5A-MR_r1i1p1	2.070	1.938	1.926
IPSL-CM5B-LR_r1i1p1	1.926	1.802	1.625
MIROC-ESM-CHEM_r1i1p1	1.461	1.337	1.161
MIROC-ESM_r1i1p1	2.043	1.881	1.601
MIROC5_r1i1p1	1.379	1.305	1.215
MIROC5_r2i1p1	1.530	1.453	1.337
MIROC5_r3i1p1	1.599	1.514	1.425
MPI-ESM-LR_r1i1p1	1.687	1.543	1.410
MPI-ESM-LR_r2i1p1	1.826	1.671	1.525
MPI-ESM-LR_r3i1p1	1.572	1.429	1.371
MPI-ESM-MR_r1i1p1	2.021	1.850	1.820
MRI-CGCM3_r1i1p1	1.840	1.728	1.490
MRI-ESM1_r1i1p1	1.230	1.154	1.081
NorESM1-ME_r1i1p1	1.548	1.445	1.326
NorESM1-M_r1i1p1	1.665	1.552	1.434
bcc-csm1-1_r1i1p1	1.772	1.712	1.631
inmcm4_r1i1p1	1.447	1.319	1.216
