Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.499	1.499	1.499
OBS_CW14	1.534	1.534	1.534
OBS_BEST	1.714	1.714	1.714
ACCESS1-0_r1i1p1	11.272	10.247	7.589
ACCESS1-3_r1i1p1	0.646	0.566	0.372
CCSM4_r1i1p1	1.845	1.721	1.472
CCSM4_r2i1p1	1.686	1.572	1.367
CCSM4_r3i1p1	1.754	1.638	1.475
CCSM4_r4i1p1	1.346	1.279	1.216
CCSM4_r5i1p1	1.810	1.668	1.395
CCSM4_r6i1p1	1.680	1.580	1.435
CESM1-BGC_r1i1p1	2.818	2.620	2.257
CESM1-CAM5_r1i1p1	1.773	1.619	1.270
CESM1-CAM5_r2i1p1	1.648	1.513	1.101
CESM1-CAM5_r3i1p1	1.331	1.222	0.851
CMCC-CMS_r1i1p1	0.015	-0.005	-0.029
CMCC-CM_r1i1p1	0.888	0.828	0.479
CNRM-CM5_r10i1p1	1.282	1.056	0.862
CNRM-CM5_r1i1p1	0.750	0.589	0.476
CNRM-CM5_r2i1p1	2.298	2.014	1.338
CNRM-CM5_r4i1p1	2.245	1.979	1.445
CNRM-CM5_r6i1p1	1.905	1.677	1.126
CSIRO-Mk3-6-0_r10i1p1	13.359	12.224	8.342
CSIRO-Mk3-6-0_r1i1p1	3.331	2.747	-0.380
CSIRO-Mk3-6-0_r2i1p1	-0.449	-0.619	-0.526
CSIRO-Mk3-6-0_r3i1p1	1.746	1.329	-0.289
CSIRO-Mk3-6-0_r4i1p1	-0.293	-0.612	-3.040
CSIRO-Mk3-6-0_r5i1p1	8.551	7.827	5.804
CSIRO-Mk3-6-0_r6i1p1	7.563	6.947	5.435
CSIRO-Mk3-6-0_r7i1p1	13.785	12.848	9.925
CSIRO-Mk3-6-0_r8i1p1	4.697	3.977	2.416
CSIRO-Mk3-6-0_r9i1p1	8.244	7.621	6.754
CanESM2_r1i1p1	1.277	1.160	0.923
CanESM2_r2i1p1	0.831	0.718	0.406
CanESM2_r3i1p1	1.745	1.569	1.196
CanESM2_r4i1p1	1.940	1.774	1.594
CanESM2_r5i1p1	2.317	2.181	1.960
EC-EARTH_r12i1p1	2.883	2.620	2.178
EC-EARTH_r1i1p1	2.051	1.875	1.849
EC-EARTH_r2i1p1	2.716	2.496	2.191
EC-EARTH_r8i1p1	2.875	2.661	2.193
EC-EARTH_r9i1p1	2.603	2.380	2.046
FIO-ESM_r1i1p1	1.924	1.782	1.617
FIO-ESM_r2i1p1	1.621	1.473	1.415
FIO-ESM_r3i1p1	2.259	2.087	1.837
GFDL-CM3_r1i1p1	-4.490	-3.161	-2.689
GFDL-ESM2G_r1i1p1	0.561	0.505	0.773
GFDL-ESM2M_r1i1p1	0.703	0.621	0.665
GISS-E2-H-CC_r1i1p1	2.484	2.273	1.947
GISS-E2-H_r1i1p1	2.284	2.083	1.578
GISS-E2-H_r1i1p2	0.956	0.860	0.785
GISS-E2-H_r1i1p3	2.392	2.203	1.777
GISS-E2-H_r2i1p1	2.294	2.071	1.627
GISS-E2-H_r2i1p3	2.770	2.561	2.018
GISS-E2-R-CC_r1i1p1	1.527	1.378	1.038
GISS-E2-R_r1i1p1	1.422	1.291	1.032
GISS-E2-R_r1i1p2	1.224	1.101	0.846
GISS-E2-R_r1i1p3	0.882	0.803	0.633
GISS-E2-R_r2i1p1	1.238	1.099	0.866
GISS-E2-R_r2i1p3	1.528	1.393	1.080
HadGEM2-AO_r1i1p1	0.541	0.444	0.255
HadGEM2-CC_r1i1p1	-0.149	-0.193	-0.340
HadGEM2-ES_r1i1p1	6.805	6.406	4.615
HadGEM2-ES_r2i1p1	6.877	6.164	2.235
HadGEM2-ES_r3i1p1	3.997	2.762	1.288
HadGEM2-ES_r4i1p1	8.745	6.294	-2.183
IPSL-CM5A-LR_r1i1p1	1.981	1.830	1.794
IPSL-CM5A-LR_r2i1p1	1.585	1.442	1.358
IPSL-CM5A-LR_r3i1p1	1.976	1.810	1.840
IPSL-CM5A-LR_r4i1p1	2.393	2.237	2.236
IPSL-CM5A-MR_r1i1p1	1.674	1.483	1.326
IPSL-CM5B-LR_r1i1p1	2.380	2.185	1.788
MIROC-ESM-CHEM_r1i1p1	1.917	1.748	1.363
MIROC-ESM_r1i1p1	2.331	2.128	1.567
MIROC5_r1i1p1	0.592	0.541	0.516
MIROC5_r2i1p1	1.573	1.452	1.224
MIROC5_r3i1p1	2.252	2.148	1.740
MPI-ESM-LR_r1i1p1	1.512	1.385	1.248
MPI-ESM-LR_r2i1p1	1.455	1.290	1.166
MPI-ESM-LR_r3i1p1	1.580	1.403	1.271
MPI-ESM-MR_r1i1p1	2.478	2.270	2.200
MRI-CGCM3_r1i1p1	1.772	1.645	1.377
MRI-ESM1_r1i1p1	1.702	1.593	1.181
NorESM1-ME_r1i1p1	1.061	0.956	0.885
NorESM1-M_r1i1p1	0.896	0.844	1.004
bcc-csm1-1_r1i1p1	1.477	1.424	1.178
inmcm4_r1i1p1	1.602	1.463	1.327
