Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	0.858	0.858	0.858
OBS_CW14	1.000	1.000	1.000
OBS_BEST	1.157	1.157	1.157
ACCESS1-0_r1i1p1	3.877	3.604	2.712
ACCESS1-3_r1i1p1	0.747	0.674	0.516
CCSM4_r1i1p1	1.429	1.338	1.091
CCSM4_r2i1p1	1.312	1.223	1.067
CCSM4_r3i1p1	1.448	1.359	1.110
CCSM4_r4i1p1	1.471	1.375	1.159
CCSM4_r5i1p1	1.499	1.379	1.113
CCSM4_r6i1p1	1.407	1.310	1.145
CESM1-BGC_r1i1p1	2.196	2.044	1.769
CESM1-CAM5_r1i1p1	1.454	1.326	1.049
CESM1-CAM5_r2i1p1	0.908	0.808	0.574
CESM1-CAM5_r3i1p1	0.898	0.799	0.510
CMCC-CMS_r1i1p1	-0.296	-0.274	-0.263
CMCC-CM_r1i1p1	0.680	0.611	0.346
CNRM-CM5_r10i1p1	1.587	1.332	0.888
CNRM-CM5_r1i1p1	1.228	1.008	0.752
CNRM-CM5_r2i1p1	1.870	1.598	1.086
CNRM-CM5_r4i1p1	2.214	1.934	1.494
CNRM-CM5_r6i1p1	2.265	2.005	1.559
CSIRO-Mk3-6-0_r10i1p1	4.657	4.338	2.972
CSIRO-Mk3-6-0_r1i1p1	2.416	2.241	1.633
CSIRO-Mk3-6-0_r2i1p1	0.980	0.882	0.787
CSIRO-Mk3-6-0_r3i1p1	1.617	1.479	1.149
CSIRO-Mk3-6-0_r4i1p1	0.767	0.673	0.308
CSIRO-Mk3-6-0_r5i1p1	3.740	3.487	2.484
CSIRO-Mk3-6-0_r6i1p1	3.477	3.261	2.140
CSIRO-Mk3-6-0_r7i1p1	2.814	2.623	1.912
CSIRO-Mk3-6-0_r8i1p1	1.641	1.428	1.052
CSIRO-Mk3-6-0_r9i1p1	2.917	2.720	2.219
CanESM2_r1i1p1	1.362	1.239	0.961
CanESM2_r2i1p1	0.906	0.820	0.690
CanESM2_r3i1p1	1.458	1.332	1.099
CanESM2_r4i1p1	1.494	1.378	1.238
CanESM2_r5i1p1	1.562	1.461	1.292
EC-EARTH_r12i1p1	1.978	1.788	1.560
EC-EARTH_r1i1p1	2.101	1.931	1.714
EC-EARTH_r2i1p1	2.761	2.548	2.157
EC-EARTH_r8i1p1	2.596	2.366	1.974
EC-EARTH_r9i1p1	2.127	1.944	1.670
FIO-ESM_r1i1p1	1.711	1.579	1.391
FIO-ESM_r2i1p1	1.403	1.275	1.189
FIO-ESM_r3i1p1	1.858	1.714	1.430
GFDL-CM3_r1i1p1	0.383	0.302	0.428
GFDL-ESM2G_r1i1p1	0.885	0.822	0.822
GFDL-ESM2M_r1i1p1	1.052	0.971	0.958
GISS-E2-H-CC_r1i1p1	2.444	2.234	1.960
GISS-E2-H_r1i1p1	2.274	2.086	1.622
GISS-E2-H_r1i1p2	1.391	1.234	0.889
GISS-E2-H_r1i1p3	2.451	2.244	1.815
GISS-E2-H_r2i1p1	2.201	2.004	1.478
GISS-E2-H_r2i1p3	2.623	2.423	1.952
GISS-E2-R-CC_r1i1p1	1.524	1.378	1.198
GISS-E2-R_r1i1p1	1.255	1.145	0.966
GISS-E2-R_r1i1p2	0.997	0.905	0.683
GISS-E2-R_r1i1p3	1.036	0.940	0.803
GISS-E2-R_r2i1p1	1.167	1.048	0.887
GISS-E2-R_r2i1p3	1.333	1.240	1.142
HadGEM2-AO_r1i1p1	0.411	0.343	0.282
HadGEM2-CC_r1i1p1	-0.141	-0.157	-0.259
HadGEM2-ES_r1i1p1	1.595	1.406	0.984
HadGEM2-ES_r2i1p1	2.115	1.926	1.577
HadGEM2-ES_r3i1p1	0.849	0.677	0.295
HadGEM2-ES_r4i1p1	3.770	3.332	2.455
IPSL-CM5A-LR_r1i1p1	2.002	1.858	1.866
IPSL-CM5A-LR_r2i1p1	1.444	1.311	1.245
IPSL-CM5A-LR_r3i1p1	1.763	1.632	1.687
IPSL-CM5A-LR_r4i1p1	2.031	1.878	1.864
IPSL-CM5A-MR_r1i1p1	1.884	1.737	1.657
IPSL-CM5B-LR_r1i1p1	2.749	2.558	2.186
MIROC-ESM-CHEM_r1i1p1	1.530	1.386	1.128
MIROC-ESM_r1i1p1	1.918	1.733	1.249
MIROC5_r1i1p1	0.690	0.641	0.589
MIROC5_r2i1p1	1.489	1.384	1.091
MIROC5_r3i1p1	1.708	1.624	1.501
MPI-ESM-LR_r1i1p1	1.607	1.490	1.251
MPI-ESM-LR_r2i1p1	1.578	1.417	1.172
MPI-ESM-LR_r3i1p1	1.389	1.242	1.143
MPI-ESM-MR_r1i1p1	2.269	2.095	2.057
MRI-CGCM3_r1i1p1	1.760	1.658	1.358
MRI-ESM1_r1i1p1	1.381	1.280	1.072
NorESM1-ME_r1i1p1	1.009	0.935	0.811
NorESM1-M_r1i1p1	1.178	1.092	1.059
bcc-csm1-1_r1i1p1	1.205	1.185	1.204
inmcm4_r1i1p1	1.306	1.192	1.072
