Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.204	1.204	1.204
OBS_CW14	1.309	1.309	1.309
OBS_BEST	1.399	1.399	1.399
ACCESS1-0_r1i1p1	2.796	2.574	2.142
ACCESS1-3_r1i1p1	1.047	0.951	0.801
CCSM4_r1i1p1	1.552	1.451	1.222
CCSM4_r2i1p1	1.535	1.431	1.271
CCSM4_r3i1p1	1.512	1.413	1.201
CCSM4_r4i1p1	1.655	1.546	1.323
CCSM4_r5i1p1	1.592	1.478	1.265
CCSM4_r6i1p1	1.524	1.414	1.250
CESM1-BGC_r1i1p1	2.192	2.039	1.796
CESM1-CAM5_r1i1p1	1.409	1.288	1.079
CESM1-CAM5_r2i1p1	1.206	1.089	0.887
CESM1-CAM5_r3i1p1	1.395	1.270	1.002
CMCC-CMS_r1i1p1	0.681	0.624	0.583
CMCC-CM_r1i1p1	1.115	1.017	0.851
CNRM-CM5_r10i1p1	2.098	1.851	1.488
CNRM-CM5_r1i1p1	1.640	1.438	1.188
CNRM-CM5_r2i1p1	1.800	1.588	1.280
CNRM-CM5_r4i1p1	2.180	1.937	1.640
CNRM-CM5_r6i1p1	2.097	1.868	1.589
CSIRO-Mk3-6-0_r10i1p1	2.846	2.659	2.046
CSIRO-Mk3-6-0_r1i1p1	2.407	2.250	1.915
CSIRO-Mk3-6-0_r2i1p1	2.276	2.130	1.912
CSIRO-Mk3-6-0_r3i1p1	2.670	2.493	2.151
CSIRO-Mk3-6-0_r4i1p1	1.828	1.704	1.470
CSIRO-Mk3-6-0_r5i1p1	3.049	2.858	2.280
CSIRO-Mk3-6-0_r6i1p1	2.672	2.504	1.846
CSIRO-Mk3-6-0_r7i1p1	2.176	2.027	1.628
CSIRO-Mk3-6-0_r8i1p1	2.327	2.160	1.899
CSIRO-Mk3-6-0_r9i1p1	2.393	2.246	1.871
CanESM2_r1i1p1	1.842	1.695	1.471
CanESM2_r2i1p1	1.640	1.505	1.350
CanESM2_r3i1p1	1.749	1.615	1.448
CanESM2_r4i1p1	1.765	1.635	1.487
CanESM2_r5i1p1	1.769	1.631	1.481
EC-EARTH_r12i1p1	1.897	1.726	1.571
EC-EARTH_r1i1p1	2.126	1.942	1.742
EC-EARTH_r2i1p1	2.331	2.132	1.856
EC-EARTH_r8i1p1	2.303	2.095	1.828
EC-EARTH_r9i1p1	2.180	1.996	1.747
FIO-ESM_r1i1p1	1.846	1.693	1.500
FIO-ESM_r2i1p1	1.663	1.523	1.414
FIO-ESM_r3i1p1	1.935	1.780	1.555
GFDL-CM3_r1i1p1	1.404	1.254	1.099
GFDL-ESM2G_r1i1p1	1.246	1.156	1.140
GFDL-ESM2M_r1i1p1	1.470	1.367	1.374
GISS-E2-H-CC_r1i1p1	2.330	2.126	1.881
GISS-E2-H_r1i1p1	1.992	1.813	1.482
GISS-E2-H_r1i1p2	1.663	1.485	1.118
GISS-E2-H_r1i1p3	2.163	1.965	1.633
GISS-E2-H_r2i1p1	1.950	1.767	1.397
GISS-E2-H_r2i1p3	2.412	2.209	1.818
GISS-E2-R-CC_r1i1p1	1.577	1.427	1.281
GISS-E2-R_r1i1p1	1.197	1.084	0.950
GISS-E2-R_r1i1p2	1.034	0.929	0.749
GISS-E2-R_r1i1p3	1.180	1.061	0.935
GISS-E2-R_r2i1p1	1.291	1.172	1.047
GISS-E2-R_r2i1p3	1.458	1.336	1.220
HadGEM2-AO_r1i1p1	1.240	1.114	0.980
HadGEM2-CC_r1i1p1	0.624	0.554	0.443
HadGEM2-ES_r1i1p1	1.949	1.738	1.459
HadGEM2-ES_r2i1p1	2.283	2.059	1.781
HadGEM2-ES_r3i1p1	2.247	2.014	1.588
HadGEM2-ES_r4i1p1	3.057	2.761	2.277
IPSL-CM5A-LR_r1i1p1	2.228	2.059	2.031
IPSL-CM5A-LR_r2i1p1	2.103	1.937	1.879
IPSL-CM5A-LR_r3i1p1	2.068	1.923	1.947
IPSL-CM5A-LR_r4i1p1	2.170	2.008	2.019
IPSL-CM5A-MR_r1i1p1	2.060	1.928	1.904
IPSL-CM5B-LR_r1i1p1	2.270	2.116	1.880
MIROC-ESM-CHEM_r1i1p1	1.519	1.386	1.193
MIROC-ESM_r1i1p1	1.981	1.814	1.463
MIROC5_r1i1p1	1.179	1.107	1.024
MIROC5_r2i1p1	1.550	1.467	1.293
MIROC5_r3i1p1	1.584	1.504	1.411
MPI-ESM-LR_r1i1p1	1.758	1.613	1.424
MPI-ESM-LR_r2i1p1	1.851	1.689	1.513
MPI-ESM-LR_r3i1p1	1.516	1.372	1.299
MPI-ESM-MR_r1i1p1	2.174	1.988	1.925
MRI-CGCM3_r1i1p1	1.862	1.751	1.496
MRI-ESM1_r1i1p1	1.306	1.219	1.122
NorESM1-ME_r1i1p1	1.335	1.236	1.099
NorESM1-M_r1i1p1	1.752	1.629	1.505
bcc-csm1-1_r1i1p1	1.626	1.565	1.470
inmcm4_r1i1p1	1.395	1.271	1.165
