Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.779	1.779	1.779
OBS_CW14	1.801	1.801	1.801
OBS_BEST	1.945	1.945	1.945
ACCESS1-0_r1i1p1	18.968	16.837	13.232
ACCESS1-3_r1i1p1	1.012	0.897	0.703
CCSM4_r1i1p1	1.888	1.765	1.514
CCSM4_r2i1p1	1.872	1.740	1.515
CCSM4_r3i1p1	1.834	1.726	1.593
CCSM4_r4i1p1	1.765	1.660	1.484
CCSM4_r5i1p1	1.873	1.749	1.525
CCSM4_r6i1p1	1.782	1.656	1.500
CESM1-BGC_r1i1p1	2.837	2.642	2.315
CESM1-CAM5_r1i1p1	1.757	1.624	1.354
CESM1-CAM5_r2i1p1	1.742	1.606	1.285
CESM1-CAM5_r3i1p1	1.774	1.637	1.274
CMCC-CMS_r1i1p1	0.655	0.556	0.482
CMCC-CM_r1i1p1	1.114	1.031	0.821
CNRM-CM5_r10i1p1	1.692	1.473	1.279
CNRM-CM5_r1i1p1	1.119	0.957	0.761
CNRM-CM5_r2i1p1	2.160	1.925	1.467
CNRM-CM5_r4i1p1	2.231	1.991	1.646
CNRM-CM5_r6i1p1	1.592	1.404	1.152
CSIRO-Mk3-6-0_r10i1p1	3.221	2.915	2.112
CSIRO-Mk3-6-0_r1i1p1	2.551	2.282	1.673
CSIRO-Mk3-6-0_r2i1p1	3.922	3.731	3.376
CSIRO-Mk3-6-0_r3i1p1	4.658	4.224	3.169
CSIRO-Mk3-6-0_r4i1p1	2.218	1.999	1.412
CSIRO-Mk3-6-0_r5i1p1	4.725	4.389	3.611
CSIRO-Mk3-6-0_r6i1p1	3.857	3.489	2.788
CSIRO-Mk3-6-0_r7i1p1	4.686	4.339	3.637
CSIRO-Mk3-6-0_r8i1p1	3.402	3.155	2.652
CSIRO-Mk3-6-0_r9i1p1	4.470	4.183	3.443
CanESM2_r1i1p1	2.136	1.980	1.786
CanESM2_r2i1p1	2.369	2.154	1.833
CanESM2_r3i1p1	2.234	2.064	1.858
CanESM2_r4i1p1	2.341	2.141	1.833
CanESM2_r5i1p1	2.317	2.119	1.994
EC-EARTH_r12i1p1	2.931	2.698	2.381
EC-EARTH_r1i1p1	2.262	2.055	2.003
EC-EARTH_r2i1p1	2.490	2.263	2.084
EC-EARTH_r8i1p1	2.482	2.278	1.984
EC-EARTH_r9i1p1	2.933	2.680	2.287
FIO-ESM_r1i1p1	2.122	1.955	1.806
FIO-ESM_r2i1p1	2.015	1.835	1.729
FIO-ESM_r3i1p1	2.369	2.175	1.958
GFDL-CM3_r1i1p1	4.901	4.276	3.029
GFDL-ESM2G_r1i1p1	1.213	1.114	1.292
GFDL-ESM2M_r1i1p1	1.459	1.335	1.413
GISS-E2-H-CC_r1i1p1	2.479	2.269	1.962
GISS-E2-H_r1i1p1	2.091	1.897	1.475
GISS-E2-H_r1i1p2	1.599	1.415	1.119
GISS-E2-H_r1i1p3	2.139	1.934	1.515
GISS-E2-H_r2i1p1	2.043	1.832	1.497
GISS-E2-H_r2i1p3	2.729	2.493	2.024
GISS-E2-R-CC_r1i1p1	1.603	1.442	1.160
GISS-E2-R_r1i1p1	1.395	1.255	1.048
GISS-E2-R_r1i1p2	1.377	1.195	0.901
GISS-E2-R_r1i1p3	1.060	0.930	0.757
GISS-E2-R_r2i1p1	1.415	1.272	1.024
GISS-E2-R_r2i1p3	2.009	1.791	1.406
HadGEM2-AO_r1i1p1	1.538	1.378	1.097
HadGEM2-CC_r1i1p1	0.634	0.513	0.368
HadGEM2-ES_r1i1p1	1.368	1.183	0.725
HadGEM2-ES_r2i1p1	3.580	3.066	1.939
HadGEM2-ES_r3i1p1	5.638	4.984	3.868
HadGEM2-ES_r4i1p1	2.710	2.199	0.808
IPSL-CM5A-LR_r1i1p1	2.057	1.855	1.762
IPSL-CM5A-LR_r2i1p1	2.391	2.188	2.161
IPSL-CM5A-LR_r3i1p1	2.495	2.314	2.264
IPSL-CM5A-LR_r4i1p1	2.490	2.321	2.320
IPSL-CM5A-MR_r1i1p1	2.161	2.010	1.919
IPSL-CM5B-LR_r1i1p1	2.253	2.079	1.831
MIROC-ESM-CHEM_r1i1p1	1.990	1.824	1.573
MIROC-ESM_r1i1p1	2.165	2.004	1.630
MIROC5_r1i1p1	0.819	0.729	0.645
MIROC5_r2i1p1	2.107	2.017	1.884
MIROC5_r3i1p1	2.064	1.987	1.692
MPI-ESM-LR_r1i1p1	2.016	1.838	1.697
MPI-ESM-LR_r2i1p1	1.912	1.739	1.619
MPI-ESM-LR_r3i1p1	1.602	1.436	1.339
MPI-ESM-MR_r1i1p1	2.211	1.978	1.829
MRI-CGCM3_r1i1p1	1.770	1.645	1.346
MRI-ESM1_r1i1p1	1.613	1.527	1.343
NorESM1-ME_r1i1p1	1.627	1.488	1.353
NorESM1-M_r1i1p1	1.933	1.823	1.774
bcc-csm1-1_r1i1p1	1.716	1.622	1.301
inmcm4_r1i1p1	1.595	1.460	1.394
