Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.186	1.186	1.186
OBS_CW14	1.300	1.300	1.300
OBS_BEST	1.433	1.433	1.433
ACCESS1-0_r1i1p1	4.724	4.316	3.355
ACCESS1-3_r1i1p1	1.019	0.917	0.752
CCSM4_r1i1p1	1.536	1.439	1.190
CCSM4_r2i1p1	1.524	1.417	1.236
CCSM4_r3i1p1	1.565	1.477	1.267
CCSM4_r4i1p1	1.780	1.660	1.381
CCSM4_r5i1p1	1.603	1.494	1.266
CCSM4_r6i1p1	1.535	1.417	1.246
CESM1-BGC_r1i1p1	2.326	2.168	1.905
CESM1-CAM5_r1i1p1	1.500	1.384	1.157
CESM1-CAM5_r2i1p1	1.119	1.011	0.817
CESM1-CAM5_r3i1p1	1.330	1.206	0.908
CMCC-CMS_r1i1p1	0.269	0.221	0.186
CMCC-CM_r1i1p1	0.898	0.812	0.642
CNRM-CM5_r10i1p1	1.892	1.652	1.287
CNRM-CM5_r1i1p1	1.436	1.234	0.943
CNRM-CM5_r2i1p1	1.871	1.644	1.293
CNRM-CM5_r4i1p1	2.210	1.960	1.675
CNRM-CM5_r6i1p1	1.844	1.633	1.447
CSIRO-Mk3-6-0_r10i1p1	2.785	2.584	1.829
CSIRO-Mk3-6-0_r1i1p1	2.354	2.191	1.928
CSIRO-Mk3-6-0_r2i1p1	2.563	2.430	2.187
CSIRO-Mk3-6-0_r3i1p1	3.032	2.793	2.299
CSIRO-Mk3-6-0_r4i1p1	1.596	1.474	1.288
CSIRO-Mk3-6-0_r5i1p1	3.543	3.315	2.559
CSIRO-Mk3-6-0_r6i1p1	3.094	2.862	1.993
CSIRO-Mk3-6-0_r7i1p1	2.188	2.026	1.624
CSIRO-Mk3-6-0_r8i1p1	2.051	1.891	1.618
CSIRO-Mk3-6-0_r9i1p1	2.917	2.736	2.172
CanESM2_r1i1p1	1.907	1.759	1.516
CanESM2_r2i1p1	1.894	1.736	1.571
CanESM2_r3i1p1	1.824	1.693	1.546
CanESM2_r4i1p1	1.830	1.683	1.453
CanESM2_r5i1p1	1.688	1.541	1.427
EC-EARTH_r12i1p1	2.183	2.003	1.835
EC-EARTH_r1i1p1	2.259	2.063	1.860
EC-EARTH_r2i1p1	2.573	2.354	2.079
EC-EARTH_r8i1p1	2.335	2.116	1.849
EC-EARTH_r9i1p1	2.476	2.263	1.930
FIO-ESM_r1i1p1	1.907	1.754	1.583
FIO-ESM_r2i1p1	1.756	1.599	1.481
FIO-ESM_r3i1p1	2.019	1.852	1.601
GFDL-CM3_r1i1p1	1.736	1.530	1.192
GFDL-ESM2G_r1i1p1	1.193	1.107	1.118
GFDL-ESM2M_r1i1p1	1.527	1.419	1.431
GISS-E2-H-CC_r1i1p1	2.447	2.238	1.970
GISS-E2-H_r1i1p1	2.123	1.938	1.532
GISS-E2-H_r1i1p2	1.821	1.606	1.135
GISS-E2-H_r1i1p3	2.239	2.023	1.600
GISS-E2-H_r2i1p1	2.019	1.827	1.402
GISS-E2-H_r2i1p3	2.617	2.395	1.969
GISS-E2-R-CC_r1i1p1	1.584	1.429	1.265
GISS-E2-R_r1i1p1	1.246	1.129	0.981
GISS-E2-R_r1i1p2	1.119	0.984	0.733
GISS-E2-R_r1i1p3	1.152	1.021	0.879
GISS-E2-R_r2i1p1	1.297	1.174	0.997
GISS-E2-R_r2i1p3	1.686	1.532	1.368
HadGEM2-AO_r1i1p1	1.226	1.103	0.946
HadGEM2-CC_r1i1p1	0.479	0.396	0.287
HadGEM2-ES_r1i1p1	1.145	0.971	0.629
HadGEM2-ES_r2i1p1	2.382	2.097	1.679
HadGEM2-ES_r3i1p1	2.575	2.281	1.676
HadGEM2-ES_r4i1p1	2.997	2.668	2.106
IPSL-CM5A-LR_r1i1p1	2.053	1.871	1.828
IPSL-CM5A-LR_r2i1p1	2.066	1.887	1.858
IPSL-CM5A-LR_r3i1p1	2.188	2.039	2.030
IPSL-CM5A-LR_r4i1p1	2.176	2.013	2.002
IPSL-CM5A-MR_r1i1p1	2.231	2.108	2.066
IPSL-CM5B-LR_r1i1p1	2.581	2.406	2.147
MIROC-ESM-CHEM_r1i1p1	1.658	1.513	1.338
MIROC-ESM_r1i1p1	1.902	1.745	1.389
MIROC5_r1i1p1	0.842	0.765	0.674
MIROC5_r2i1p1	1.889	1.805	1.590
MIROC5_r3i1p1	1.642	1.576	1.497
MPI-ESM-LR_r1i1p1	1.976	1.820	1.587
MPI-ESM-LR_r2i1p1	1.909	1.742	1.511
MPI-ESM-LR_r3i1p1	1.423	1.282	1.206
MPI-ESM-MR_r1i1p1	2.096	1.896	1.789
MRI-CGCM3_r1i1p1	1.760	1.657	1.333
MRI-ESM1_r1i1p1	1.370	1.286	1.221
NorESM1-ME_r1i1p1	1.468	1.360	1.196
NorESM1-M_r1i1p1	2.130	1.992	1.784
bcc-csm1-1_r1i1p1	1.507	1.440	1.311
inmcm4_r1i1p1	1.368	1.252	1.192
