Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.375	1.375	1.375
OBS_CW14	1.524	1.524	1.524
OBS_BEST	1.552	1.552	1.552
ACCESS1-0_r1i1p1	10.364	9.053	6.700
ACCESS1-3_r1i1p1	0.822	0.699	0.575
CCSM4_r1i1p1	1.546	1.438	1.152
CCSM4_r2i1p1	1.639	1.515	1.204
CCSM4_r3i1p1	1.573	1.470	1.190
CCSM4_r4i1p1	1.702	1.573	1.316
CCSM4_r5i1p1	1.612	1.492	1.259
CCSM4_r6i1p1	1.665	1.537	1.228
CESM1-BGC_r1i1p1	2.687	2.496	2.067
CESM1-CAM5_r1i1p1	1.499	1.341	1.085
CESM1-CAM5_r2i1p1	0.928	0.813	0.501
CESM1-CAM5_r3i1p1	1.131	1.003	0.603
CMCC-CMS_r1i1p1	0.778	0.661	0.431
CMCC-CM_r1i1p1	1.520	1.402	0.940
CNRM-CM5_r10i1p1	2.199	1.872	1.265
CNRM-CM5_r1i1p1	1.983	1.681	1.343
CNRM-CM5_r2i1p1	2.266	1.966	1.421
CNRM-CM5_r4i1p1	2.481	2.160	1.209
CNRM-CM5_r6i1p1	1.820	1.560	1.061
CSIRO-Mk3-6-0_r10i1p1	9.143	8.411	4.626
CSIRO-Mk3-6-0_r1i1p1	7.423	6.750	4.302
CSIRO-Mk3-6-0_r2i1p1	6.033	5.588	4.832
CSIRO-Mk3-6-0_r3i1p1	8.804	8.072	5.880
CSIRO-Mk3-6-0_r4i1p1	2.208	1.769	1.940
CSIRO-Mk3-6-0_r5i1p1	5.430	4.873	2.055
CSIRO-Mk3-6-0_r6i1p1	7.739	6.999	4.379
CSIRO-Mk3-6-0_r7i1p1	10.311	9.556	7.796
CSIRO-Mk3-6-0_r8i1p1	4.738	4.218	1.607
CSIRO-Mk3-6-0_r9i1p1	10.364	9.575	7.414
CanESM2_r1i1p1	2.244	2.058	1.868
CanESM2_r2i1p1	2.164	1.958	1.431
CanESM2_r3i1p1	2.099	1.925	1.790
CanESM2_r4i1p1	2.423	2.202	1.513
CanESM2_r5i1p1	1.863	1.674	1.352
EC-EARTH_r12i1p1	2.874	2.659	2.412
EC-EARTH_r1i1p1	2.729	2.470	2.139
EC-EARTH_r2i1p1	3.017	2.733	2.487
EC-EARTH_r8i1p1	2.706	2.463	2.263
EC-EARTH_r9i1p1	2.866	2.607	2.479
FIO-ESM_r1i1p1	2.591	2.386	2.286
FIO-ESM_r2i1p1	2.594	2.372	1.959
FIO-ESM_r3i1p1	2.858	2.629	2.273
GFDL-CM3_r1i1p1	1.724	1.199	0.518
GFDL-ESM2G_r1i1p1	1.373	1.257	1.363
GFDL-ESM2M_r1i1p1	1.466	1.340	1.309
GISS-E2-H-CC_r1i1p1	2.990	2.701	2.324
GISS-E2-H_r1i1p1	2.823	2.570	2.048
GISS-E2-H_r1i1p2	2.254	1.999	1.409
GISS-E2-H_r1i1p3	2.272	2.030	1.455
GISS-E2-H_r2i1p1	2.577	2.308	1.839
GISS-E2-H_r2i1p3	3.087	2.798	2.100
GISS-E2-R-CC_r1i1p1	2.012	1.809	1.451
GISS-E2-R_r1i1p1	1.357	1.204	1.032
GISS-E2-R_r1i1p2	1.345	1.170	0.782
GISS-E2-R_r1i1p3	1.307	1.147	0.887
GISS-E2-R_r2i1p1	1.690	1.521	1.248
GISS-E2-R_r2i1p3	1.810	1.605	1.391
HadGEM2-AO_r1i1p1	1.179	1.043	0.757
HadGEM2-CC_r1i1p1	-0.227	-0.308	-0.370
HadGEM2-ES_r1i1p1	1.667	1.274	0.601
HadGEM2-ES_r2i1p1	2.153	1.586	0.332
HadGEM2-ES_r3i1p1	5.398	4.631	2.856
HadGEM2-ES_r4i1p1	3.442	2.780	1.315
IPSL-CM5A-LR_r1i1p1	2.014	1.830	2.000
IPSL-CM5A-LR_r2i1p1	2.421	2.215	2.166
IPSL-CM5A-LR_r3i1p1	2.474	2.291	2.366
IPSL-CM5A-LR_r4i1p1	2.712	2.513	2.332
IPSL-CM5A-MR_r1i1p1	2.528	2.347	2.268
IPSL-CM5B-LR_r1i1p1	2.974	2.775	2.638
MIROC-ESM-CHEM_r1i1p1	2.210	2.002	1.482
MIROC-ESM_r1i1p1	2.644	2.387	1.490
MIROC5_r1i1p1	0.813	0.701	0.316
MIROC5_r2i1p1	2.378	2.270	1.374
MIROC5_r3i1p1	1.882	1.775	1.060
MPI-ESM-LR_r1i1p1	2.073	1.888	1.762
MPI-ESM-LR_r2i1p1	1.985	1.810	1.700
MPI-ESM-LR_r3i1p1	1.573	1.404	1.421
MPI-ESM-MR_r1i1p1	2.065	1.838	1.677
MRI-CGCM3_r1i1p1	1.725	1.603	1.288
MRI-ESM1_r1i1p1	1.536	1.423	1.317
NorESM1-ME_r1i1p1	1.651	1.518	1.128
NorESM1-M_r1i1p1	2.051	1.906	1.583
bcc-csm1-1_r1i1p1	1.931	1.868	1.594
inmcm4_r1i1p1	1.246	1.130	1.026
