Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.409	1.409	1.409
OBS_CW14	1.492	1.492	1.492
OBS_BEST	1.580	1.580	1.580
ACCESS1-0_r1i1p1	2.514	2.309	1.931
ACCESS1-3_r1i1p1	1.029	0.932	0.784
CCSM4_r1i1p1	1.627	1.515	1.254
CCSM4_r2i1p1	1.657	1.545	1.378
CCSM4_r3i1p1	1.619	1.502	1.240
CCSM4_r4i1p1	1.780	1.659	1.414
CCSM4_r5i1p1	1.661	1.543	1.322
CCSM4_r6i1p1	1.611	1.490	1.300
CESM1-BGC_r1i1p1	2.210	2.052	1.789
CESM1-CAM5_r1i1p1	1.255	1.130	0.927
CESM1-CAM5_r2i1p1	1.295	1.159	0.919
CESM1-CAM5_r3i1p1	1.541	1.398	1.085
CMCC-CMS_r1i1p1	1.122	1.030	0.958
CMCC-CM_r1i1p1	1.250	1.135	0.970
CNRM-CM5_r10i1p1	2.259	2.006	1.628
CNRM-CM5_r1i1p1	1.713	1.515	1.254
CNRM-CM5_r2i1p1	1.700	1.495	1.267
CNRM-CM5_r4i1p1	2.393	2.111	1.747
CNRM-CM5_r6i1p1	2.005	1.767	1.532
CSIRO-Mk3-6-0_r10i1p1	2.811	2.628	2.057
CSIRO-Mk3-6-0_r1i1p1	2.570	2.383	1.986
CSIRO-Mk3-6-0_r2i1p1	2.472	2.274	1.939
CSIRO-Mk3-6-0_r3i1p1	3.240	3.020	2.574
CSIRO-Mk3-6-0_r4i1p1	1.924	1.789	1.492
CSIRO-Mk3-6-0_r5i1p1	3.198	2.996	2.350
CSIRO-Mk3-6-0_r6i1p1	2.883	2.708	1.983
CSIRO-Mk3-6-0_r7i1p1	1.442	1.306	0.915
CSIRO-Mk3-6-0_r8i1p1	3.070	2.884	2.576
CSIRO-Mk3-6-0_r9i1p1	2.828	2.658	2.228
CanESM2_r1i1p1	1.935	1.778	1.545
CanESM2_r2i1p1	1.757	1.603	1.410
CanESM2_r3i1p1	1.706	1.577	1.421
CanESM2_r4i1p1	1.739	1.598	1.418
CanESM2_r5i1p1	1.820	1.675	1.505
EC-EARTH_r12i1p1	1.858	1.686	1.576
EC-EARTH_r1i1p1	2.211	2.014	1.807
EC-EARTH_r2i1p1	2.330	2.134	1.866
EC-EARTH_r8i1p1	2.309	2.096	1.872
EC-EARTH_r9i1p1	2.187	2.005	1.780
FIO-ESM_r1i1p1	2.212	2.019	1.770
FIO-ESM_r2i1p1	1.856	1.702	1.578
FIO-ESM_r3i1p1	2.209	2.036	1.793
GFDL-CM3_r1i1p1	1.143	0.991	0.797
GFDL-ESM2G_r1i1p1	1.407	1.294	1.254
GFDL-ESM2M_r1i1p1	1.629	1.524	1.534
GISS-E2-H-CC_r1i1p1	2.429	2.209	1.926
GISS-E2-H_r1i1p1	1.997	1.809	1.471
GISS-E2-H_r1i1p2	1.679	1.491	1.085
GISS-E2-H_r1i1p3	2.087	1.880	1.536
GISS-E2-H_r2i1p1	1.947	1.757	1.403
GISS-E2-H_r2i1p3	2.423	2.205	1.779
GISS-E2-R-CC_r1i1p1	1.602	1.448	1.291
GISS-E2-R_r1i1p1	1.154	1.027	0.879
GISS-E2-R_r1i1p2	0.922	0.818	0.629
GISS-E2-R_r1i1p3	1.129	0.993	0.820
GISS-E2-R_r2i1p1	1.416	1.282	1.157
GISS-E2-R_r2i1p3	1.514	1.380	1.237
HadGEM2-AO_r1i1p1	1.236	1.098	0.948
HadGEM2-CC_r1i1p1	0.908	0.825	0.701
HadGEM2-ES_r1i1p1	2.257	2.009	1.692
HadGEM2-ES_r2i1p1	2.199	1.959	1.694
HadGEM2-ES_r3i1p1	2.934	2.619	2.060
HadGEM2-ES_r4i1p1	3.033	2.726	2.151
IPSL-CM5A-LR_r1i1p1	2.394	2.213	2.187
IPSL-CM5A-LR_r2i1p1	2.318	2.136	2.041
IPSL-CM5A-LR_r3i1p1	2.117	1.957	2.002
IPSL-CM5A-LR_r4i1p1	2.178	2.012	2.054
IPSL-CM5A-MR_r1i1p1	2.024	1.894	1.903
IPSL-CM5B-LR_r1i1p1	2.227	2.069	1.850
MIROC-ESM-CHEM_r1i1p1	1.487	1.357	1.166
MIROC-ESM_r1i1p1	1.998	1.829	1.463
MIROC5_r1i1p1	1.371	1.289	1.208
MIROC5_r2i1p1	1.383	1.303	1.131
MIROC5_r3i1p1	1.442	1.362	1.271
MPI-ESM-LR_r1i1p1	1.788	1.628	1.439
MPI-ESM-LR_r2i1p1	2.053	1.882	1.767
MPI-ESM-LR_r3i1p1	1.616	1.473	1.398
MPI-ESM-MR_r1i1p1	2.405	2.200	2.104
MRI-CGCM3_r1i1p1	2.131	2.006	1.848
MRI-ESM1_r1i1p1	1.322	1.225	1.136
NorESM1-ME_r1i1p1	1.119	1.018	0.870
NorESM1-M_r1i1p1	2.001	1.850	1.717
bcc-csm1-1_r1i1p1	1.782	1.701	1.548
inmcm4_r1i1p1	1.418	1.286	1.142
