Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.535	1.535	1.535
OBS_CW14	1.585	1.585	1.585
OBS_BEST	1.613	1.613	1.613
ACCESS1-0_r1i1p1	2.299	2.102	1.922
ACCESS1-3_r1i1p1	1.223	1.114	0.964
CCSM4_r1i1p1	1.757	1.641	1.460
CCSM4_r2i1p1	1.752	1.636	1.472
CCSM4_r3i1p1	1.562	1.455	1.338
CCSM4_r4i1p1	1.555	1.465	1.351
CCSM4_r5i1p1	1.721	1.603	1.436
CCSM4_r6i1p1	1.640	1.532	1.402
CESM1-BGC_r1i1p1	2.322	2.157	1.930
CESM1-CAM5_r1i1p1	1.559	1.432	1.243
CESM1-CAM5_r2i1p1	1.640	1.511	1.287
CESM1-CAM5_r3i1p1	1.784	1.652	1.421
CMCC-CMS_r1i1p1	1.306	1.207	1.141
CMCC-CM_r1i1p1	1.484	1.378	1.241
CNRM-CM5_r10i1p1	2.181	1.948	1.714
CNRM-CM5_r1i1p1	1.685	1.507	1.339
CNRM-CM5_r2i1p1	1.952	1.764	1.443
CNRM-CM5_r4i1p1	2.019	1.826	1.585
CNRM-CM5_r6i1p1	2.106	1.894	1.563
CSIRO-Mk3-6-0_r10i1p1	2.410	2.251	1.961
CSIRO-Mk3-6-0_r1i1p1	2.386	2.235	1.894
CSIRO-Mk3-6-0_r2i1p1	2.689	2.537	2.343
CSIRO-Mk3-6-0_r3i1p1	2.765	2.604	2.310
CSIRO-Mk3-6-0_r4i1p1	2.452	2.300	2.016
CSIRO-Mk3-6-0_r5i1p1	2.621	2.460	2.201
CSIRO-Mk3-6-0_r6i1p1	2.119	1.990	1.736
CSIRO-Mk3-6-0_r7i1p1	3.020	2.841	2.476
CSIRO-Mk3-6-0_r8i1p1	2.615	2.450	2.211
CSIRO-Mk3-6-0_r9i1p1	1.902	1.785	1.595
CanESM2_r1i1p1	2.009	1.856	1.690
CanESM2_r2i1p1	1.847	1.701	1.522
CanESM2_r3i1p1	1.989	1.832	1.653
CanESM2_r4i1p1	2.024	1.890	1.793
CanESM2_r5i1p1	2.082	1.925	1.769
EC-EARTH_r12i1p1	2.035	1.857	1.640
EC-EARTH_r1i1p1	1.982	1.804	1.689
EC-EARTH_r2i1p1	1.910	1.726	1.544
EC-EARTH_r8i1p1	2.202	2.025	1.773
EC-EARTH_r9i1p1	2.202	2.020	1.795
FIO-ESM_r1i1p1	1.695	1.557	1.398
FIO-ESM_r2i1p1	1.700	1.567	1.471
FIO-ESM_r3i1p1	1.874	1.723	1.573
GFDL-CM3_r1i1p1	1.979	1.798	1.612
GFDL-ESM2G_r1i1p1	1.330	1.240	1.266
GFDL-ESM2M_r1i1p1	1.543	1.424	1.469
GISS-E2-H-CC_r1i1p1	2.130	1.948	1.740
GISS-E2-H_r1i1p1	1.743	1.575	1.359
GISS-E2-H_r1i1p2	1.565	1.424	1.234
GISS-E2-H_r1i1p3	1.977	1.809	1.601
GISS-E2-H_r2i1p1	1.791	1.621	1.393
GISS-E2-H_r2i1p3	2.208	2.022	1.701
GISS-E2-R-CC_r1i1p1	1.587	1.440	1.276
GISS-E2-R_r1i1p1	1.221	1.108	0.998
GISS-E2-R_r1i1p2	1.179	1.070	0.957
GISS-E2-R_r1i1p3	1.281	1.171	1.084
GISS-E2-R_r2i1p1	1.316	1.201	1.106
GISS-E2-R_r2i1p3	1.446	1.317	1.152
HadGEM2-AO_r1i1p1	1.804	1.638	1.438
HadGEM2-CC_r1i1p1	0.961	0.866	0.741
HadGEM2-ES_r1i1p1	2.543	2.314	2.129
HadGEM2-ES_r2i1p1	2.543	2.318	2.025
HadGEM2-ES_r3i1p1	2.638	2.410	2.085
HadGEM2-ES_r4i1p1	2.833	2.579	2.170
IPSL-CM5A-LR_r1i1p1	2.374	2.201	2.141
IPSL-CM5A-LR_r2i1p1	2.496	2.322	2.276
IPSL-CM5A-LR_r3i1p1	2.251	2.099	2.095
IPSL-CM5A-LR_r4i1p1	2.401	2.234	2.258
IPSL-CM5A-MR_r1i1p1	2.017	1.871	1.840
IPSL-CM5B-LR_r1i1p1	1.691	1.574	1.412
MIROC-ESM-CHEM_r1i1p1	1.593	1.462	1.250
MIROC-ESM_r1i1p1	2.208	2.043	1.764
MIROC5_r1i1p1	1.439	1.360	1.273
MIROC5_r2i1p1	1.559	1.481	1.404
MIROC5_r3i1p1	1.735	1.645	1.482
MPI-ESM-LR_r1i1p1	1.656	1.503	1.437
MPI-ESM-LR_r2i1p1	1.812	1.657	1.586
MPI-ESM-LR_r3i1p1	1.694	1.537	1.472
MPI-ESM-MR_r1i1p1	2.066	1.883	1.843
MRI-CGCM3_r1i1p1	1.854	1.727	1.514
MRI-ESM1_r1i1p1	1.328	1.252	1.122
NorESM1-ME_r1i1p1	1.633	1.515	1.416
NorESM1-M_r1i1p1	1.572	1.471	1.422
bcc-csm1-1_r1i1p1	1.911	1.835	1.638
inmcm4_r1i1p1	1.616	1.473	1.363
