Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.678	1.678	1.678
OBS_CW14	1.708	1.708	1.708
OBS_BEST	1.796	1.796	1.796
ACCESS1-0_r1i1p1	3.136	2.844	2.451
ACCESS1-3_r1i1p1	1.048	0.942	0.773
CCSM4_r1i1p1	1.843	1.719	1.492
CCSM4_r2i1p1	1.821	1.698	1.506
CCSM4_r3i1p1	1.719	1.603	1.453
CCSM4_r4i1p1	1.616	1.522	1.395
CCSM4_r5i1p1	1.810	1.683	1.476
CCSM4_r6i1p1	1.723	1.607	1.457
CESM1-BGC_r1i1p1	2.558	2.377	2.090
CESM1-CAM5_r1i1p1	1.589	1.453	1.215
CESM1-CAM5_r2i1p1	1.702	1.562	1.261
CESM1-CAM5_r3i1p1	1.749	1.614	1.303
CMCC-CMS_r1i1p1	1.061	0.963	0.891
CMCC-CM_r1i1p1	1.325	1.227	1.030
CNRM-CM5_r10i1p1	1.938	1.707	1.484
CNRM-CM5_r1i1p1	1.383	1.214	1.043
CNRM-CM5_r2i1p1	2.035	1.818	1.423
CNRM-CM5_r4i1p1	2.197	1.962	1.615
CNRM-CM5_r6i1p1	1.895	1.684	1.350
CSIRO-Mk3-6-0_r10i1p1	3.131	2.894	2.343
CSIRO-Mk3-6-0_r1i1p1	2.552	2.339	1.763
CSIRO-Mk3-6-0_r2i1p1	2.863	2.676	2.409
CSIRO-Mk3-6-0_r3i1p1	3.360	3.112	2.550
CSIRO-Mk3-6-0_r4i1p1	2.327	2.147	1.655
CSIRO-Mk3-6-0_r5i1p1	3.404	3.175	2.698
CSIRO-Mk3-6-0_r6i1p1	2.835	2.631	2.203
CSIRO-Mk3-6-0_r7i1p1	3.581	3.335	2.771
CSIRO-Mk3-6-0_r8i1p1	3.267	3.046	2.662
CSIRO-Mk3-6-0_r9i1p1	2.939	2.753	2.399
CanESM2_r1i1p1	1.963	1.811	1.623
CanESM2_r2i1p1	1.849	1.686	1.440
CanESM2_r3i1p1	1.978	1.818	1.609
CanESM2_r4i1p1	2.060	1.903	1.734
CanESM2_r5i1p1	2.185	2.019	1.851
EC-EARTH_r12i1p1	2.415	2.206	1.938
EC-EARTH_r1i1p1	2.102	1.912	1.827
EC-EARTH_r2i1p1	2.219	2.018	1.815
EC-EARTH_r8i1p1	2.409	2.216	1.928
EC-EARTH_r9i1p1	2.471	2.264	1.984
FIO-ESM_r1i1p1	1.998	1.836	1.655
FIO-ESM_r2i1p1	1.843	1.689	1.592
FIO-ESM_r3i1p1	2.187	2.014	1.820
GFDL-CM3_r1i1p1	2.134	1.893	1.576
GFDL-ESM2G_r1i1p1	1.282	1.183	1.263
GFDL-ESM2M_r1i1p1	1.395	1.283	1.338
GISS-E2-H-CC_r1i1p1	2.330	2.128	1.857
GISS-E2-H_r1i1p1	1.942	1.757	1.428
GISS-E2-H_r1i1p2	1.461	1.314	1.102
GISS-E2-H_r1i1p3	2.070	1.885	1.575
GISS-E2-H_r2i1p1	1.954	1.760	1.468
GISS-E2-H_r2i1p3	2.457	2.248	1.831
GISS-E2-R-CC_r1i1p1	1.589	1.437	1.203
GISS-E2-R_r1i1p1	1.289	1.160	0.989
GISS-E2-R_r1i1p2	1.194	1.064	0.875
GISS-E2-R_r1i1p3	1.123	1.008	0.864
GISS-E2-R_r2i1p1	1.375	1.242	1.081
GISS-E2-R_r2i1p3	1.621	1.464	1.203
HadGEM2-AO_r1i1p1	1.483	1.327	1.103
HadGEM2-CC_r1i1p1	0.772	0.675	0.536
HadGEM2-ES_r1i1p1	2.666	2.420	2.129
HadGEM2-ES_r2i1p1	2.822	2.525	1.990
HadGEM2-ES_r3i1p1	3.567	3.197	2.643
HadGEM2-ES_r4i1p1	2.954	2.590	1.740
IPSL-CM5A-LR_r1i1p1	2.283	2.101	2.038
IPSL-CM5A-LR_r2i1p1	2.379	2.196	2.132
IPSL-CM5A-LR_r3i1p1	2.283	2.114	2.113
IPSL-CM5A-LR_r4i1p1	2.424	2.257	2.283
IPSL-CM5A-MR_r1i1p1	1.972	1.816	1.759
IPSL-CM5B-LR_r1i1p1	1.956	1.807	1.584
MIROC-ESM-CHEM_r1i1p1	1.745	1.599	1.344
MIROC-ESM_r1i1p1	2.217	2.046	1.680
MIROC5_r1i1p1	1.243	1.163	1.088
MIROC5_r2i1p1	1.607	1.521	1.408
MIROC5_r3i1p1	1.835	1.745	1.513
MPI-ESM-LR_r1i1p1	1.731	1.571	1.469
MPI-ESM-LR_r2i1p1	1.838	1.673	1.601
MPI-ESM-LR_r3i1p1	1.686	1.522	1.432
MPI-ESM-MR_r1i1p1	2.278	2.070	1.983
MRI-CGCM3_r1i1p1	1.886	1.754	1.531
MRI-ESM1_r1i1p1	1.481	1.392	1.196
NorESM1-ME_r1i1p1	1.430	1.309	1.201
NorESM1-M_r1i1p1	1.595	1.494	1.487
bcc-csm1-1_r1i1p1	1.818	1.734	1.471
inmcm4_r1i1p1	1.614	1.471	1.355
