Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.610	1.610	1.610
OBS_CW14	1.715	1.715	1.715
OBS_BEST	1.709	1.709	1.709
ACCESS1-0_r1i1p1	2.319	2.083	1.770
ACCESS1-3_r1i1p1	0.885	0.773	0.660
CCSM4_r1i1p1	1.648	1.525	1.230
CCSM4_r2i1p1	1.773	1.646	1.371
CCSM4_r3i1p1	1.633	1.500	1.170
CCSM4_r4i1p1	1.713	1.585	1.363
CCSM4_r5i1p1	1.677	1.548	1.324
CCSM4_r6i1p1	1.733	1.602	1.292
CESM1-BGC_r1i1p1	2.450	2.267	1.880
CESM1-CAM5_r1i1p1	1.192	1.033	0.815
CESM1-CAM5_r2i1p1	1.197	1.049	0.709
CESM1-CAM5_r3i1p1	1.446	1.295	0.903
CMCC-CMS_r1i1p1	1.721	1.566	1.340
CMCC-CM_r1i1p1	1.806	1.659	1.277
CNRM-CM5_r10i1p1	2.572	2.250	1.692
CNRM-CM5_r1i1p1	2.181	1.911	1.622
CNRM-CM5_r2i1p1	1.951	1.698	1.355
CNRM-CM5_r4i1p1	2.635	2.295	1.420
CNRM-CM5_r6i1p1	2.026	1.745	1.267
CSIRO-Mk3-6-0_r10i1p1	5.936	5.520	3.733
CSIRO-Mk3-6-0_r1i1p1	5.335	4.866	3.221
CSIRO-Mk3-6-0_r2i1p1	4.034	3.591	2.880
CSIRO-Mk3-6-0_r3i1p1	6.334	5.902	4.698
CSIRO-Mk3-6-0_r4i1p1	2.676	2.370	2.091
CSIRO-Mk3-6-0_r5i1p1	3.635	3.311	1.816
CSIRO-Mk3-6-0_r6i1p1	4.847	4.505	3.128
CSIRO-Mk3-6-0_r7i1p1	4.351	3.964	2.931
CSIRO-Mk3-6-0_r8i1p1	5.792	5.393	3.901
CSIRO-Mk3-6-0_r9i1p1	6.322	5.874	4.852
CanESM2_r1i1p1	2.143	1.960	1.763
CanESM2_r2i1p1	1.876	1.694	1.278
CanESM2_r3i1p1	1.833	1.678	1.528
CanESM2_r4i1p1	2.063	1.879	1.443
CanESM2_r5i1p1	1.965	1.795	1.485
EC-EARTH_r12i1p1	2.291	2.095	1.941
EC-EARTH_r1i1p1	2.550	2.306	2.001
EC-EARTH_r2i1p1	2.599	2.361	2.117
EC-EARTH_r8i1p1	2.579	2.350	2.187
EC-EARTH_r9i1p1	2.404	2.196	2.151
FIO-ESM_r1i1p1	2.801	2.558	2.344
FIO-ESM_r2i1p1	2.508	2.306	1.961
FIO-ESM_r3i1p1	2.884	2.664	2.344
GFDL-CM3_r1i1p1	0.855	0.666	0.475
GFDL-ESM2G_r1i1p1	1.620	1.475	1.480
GFDL-ESM2M_r1i1p1	1.594	1.476	1.448
GISS-E2-H-CC_r1i1p1	2.830	2.547	2.180
GISS-E2-H_r1i1p1	2.488	2.248	1.842
GISS-E2-H_r1i1p2	1.966	1.756	1.277
GISS-E2-H_r1i1p3	2.073	1.849	1.410
GISS-E2-H_r2i1p1	2.345	2.098	1.730
GISS-E2-H_r2i1p3	2.724	2.457	1.828
GISS-E2-R-CC_r1i1p1	1.926	1.737	1.436
GISS-E2-R_r1i1p1	1.214	1.056	0.890
GISS-E2-R_r1i1p2	1.043	0.917	0.637
GISS-E2-R_r1i1p3	1.245	1.085	0.810
GISS-E2-R_r2i1p1	1.757	1.583	1.397
GISS-E2-R_r2i1p3	1.562	1.394	1.218
HadGEM2-AO_r1i1p1	1.204	1.052	0.808
HadGEM2-CC_r1i1p1	0.491	0.408	0.315
HadGEM2-ES_r1i1p1	3.745	3.277	2.774
HadGEM2-ES_r2i1p1	1.864	1.487	0.844
HadGEM2-ES_r3i1p1	5.120	4.481	3.216
HadGEM2-ES_r4i1p1	3.356	2.858	1.689
IPSL-CM5A-LR_r1i1p1	2.445	2.262	2.410
IPSL-CM5A-LR_r2i1p1	2.660	2.456	2.329
IPSL-CM5A-LR_r3i1p1	2.326	2.137	2.261
IPSL-CM5A-LR_r4i1p1	2.603	2.409	2.329
IPSL-CM5A-MR_r1i1p1	2.192	2.017	2.012
IPSL-CM5B-LR_r1i1p1	2.430	2.258	2.140
MIROC-ESM-CHEM_r1i1p1	1.856	1.682	1.230
MIROC-ESM_r1i1p1	2.562	2.317	1.569
MIROC5_r1i1p1	1.571	1.468	1.221
MIROC5_r2i1p1	1.457	1.365	0.817
MIROC5_r3i1p1	1.499	1.389	0.925
MPI-ESM-LR_r1i1p1	1.816	1.631	1.543
MPI-ESM-LR_r2i1p1	2.157	1.979	1.997
MPI-ESM-LR_r3i1p1	1.796	1.629	1.632
MPI-ESM-MR_r1i1p1	2.461	2.235	2.101
MRI-CGCM3_r1i1p1	2.187	2.032	1.931
MRI-ESM1_r1i1p1	1.434	1.312	1.186
NorESM1-ME_r1i1p1	1.167	1.048	0.736
NorESM1-M_r1i1p1	1.922	1.763	1.559
bcc-csm1-1_r1i1p1	2.210	2.128	1.852
inmcm4_r1i1p1	1.299	1.167	0.988
