Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.937	1.937	1.937
OBS_CW14	1.939	1.939	1.939
OBS_BEST	2.025	2.025	2.025
ACCESS1-0_r1i1p1	2.654	2.402	2.081
ACCESS1-3_r1i1p1	1.027	0.920	0.753
CCSM4_r1i1p1	1.944	1.806	1.541
CCSM4_r2i1p1	1.980	1.846	1.645
CCSM4_r3i1p1	1.858	1.718	1.509
CCSM4_r4i1p1	1.767	1.659	1.508
CCSM4_r5i1p1	1.902	1.769	1.553
CCSM4_r6i1p1	1.837	1.708	1.526
CESM1-BGC_r1i1p1	2.575	2.389	2.077
CESM1-CAM5_r1i1p1	1.402	1.262	1.032
CESM1-CAM5_r2i1p1	1.802	1.639	1.295
CESM1-CAM5_r3i1p1	1.919	1.762	1.398
CMCC-CMS_r1i1p1	1.584	1.444	1.336
CMCC-CM_r1i1p1	1.484	1.365	1.171
CNRM-CM5_r10i1p1	2.109	1.871	1.627
CNRM-CM5_r1i1p1	1.469	1.302	1.117
CNRM-CM5_r2i1p1	1.923	1.713	1.403
CNRM-CM5_r4i1p1	2.412	2.138	1.726
CNRM-CM5_r6i1p1	1.811	1.590	1.302
CSIRO-Mk3-6-0_r10i1p1	3.105	2.868	2.398
CSIRO-Mk3-6-0_r1i1p1	2.849	2.578	1.866
CSIRO-Mk3-6-0_r2i1p1	3.268	2.985	2.514
CSIRO-Mk3-6-0_r3i1p1	4.415	4.087	3.321
CSIRO-Mk3-6-0_r4i1p1	2.550	2.345	1.715
CSIRO-Mk3-6-0_r5i1p1	3.700	3.449	2.868
CSIRO-Mk3-6-0_r6i1p1	3.215	2.996	2.478
CSIRO-Mk3-6-0_r7i1p1	2.490	2.257	1.685
CSIRO-Mk3-6-0_r8i1p1	4.648	4.387	3.909
CSIRO-Mk3-6-0_r9i1p1	3.746	3.518	3.070
CanESM2_r1i1p1	2.079	1.914	1.714
CanESM2_r2i1p1	1.994	1.807	1.513
CanESM2_r3i1p1	1.910	1.758	1.566
CanESM2_r4i1p1	2.011	1.841	1.632
CanESM2_r5i1p1	2.233	2.059	1.865
EC-EARTH_r12i1p1	2.362	2.151	1.940
EC-EARTH_r1i1p1	2.204	1.999	1.904
EC-EARTH_r2i1p1	2.219	2.022	1.828
EC-EARTH_r8i1p1	2.415	2.215	1.979
EC-EARTH_r9i1p1	2.476	2.270	2.021
FIO-ESM_r1i1p1	2.435	2.223	1.977
FIO-ESM_r2i1p1	2.072	1.902	1.787
FIO-ESM_r3i1p1	2.512	2.318	2.102
GFDL-CM3_r1i1p1	1.611	1.386	1.046
GFDL-ESM2G_r1i1p1	1.519	1.385	1.436
GFDL-ESM2M_r1i1p1	1.619	1.503	1.566
GISS-E2-H-CC_r1i1p1	2.450	2.227	1.912
GISS-E2-H_r1i1p1	1.949	1.752	1.416
GISS-E2-H_r1i1p2	1.482	1.324	1.063
GISS-E2-H_r1i1p3	1.981	1.785	1.458
GISS-E2-H_r2i1p1	1.950	1.747	1.475
GISS-E2-H_r2i1p3	2.470	2.242	1.784
GISS-E2-R-CC_r1i1p1	1.619	1.461	1.216
GISS-E2-R_r1i1p1	1.239	1.091	0.897
GISS-E2-R_r1i1p2	1.058	0.928	0.726
GISS-E2-R_r1i1p3	1.051	0.914	0.706
GISS-E2-R_r2i1p1	1.547	1.393	1.229
GISS-E2-R_r2i1p3	1.709	1.532	1.224
HadGEM2-AO_r1i1p1	1.475	1.305	1.063
HadGEM2-CC_r1i1p1	1.110	0.998	0.843
HadGEM2-ES_r1i1p1	3.473	3.144	2.777
HadGEM2-ES_r2i1p1	2.810	2.462	1.880
HadGEM2-ES_r3i1p1	5.288	4.718	3.867
HadGEM2-ES_r4i1p1	2.879	2.474	1.343
IPSL-CM5A-LR_r1i1p1	2.494	2.297	2.237
IPSL-CM5A-LR_r2i1p1	2.645	2.444	2.331
IPSL-CM5A-LR_r3i1p1	2.337	2.150	2.178
IPSL-CM5A-LR_r4i1p1	2.426	2.254	2.319
IPSL-CM5A-MR_r1i1p1	1.929	1.777	1.759
IPSL-CM5B-LR_r1i1p1	1.909	1.754	1.551
MIROC-ESM-CHEM_r1i1p1	1.705	1.562	1.311
MIROC-ESM_r1i1p1	2.215	2.041	1.660
MIROC5_r1i1p1	1.480	1.389	1.315
MIROC5_r2i1p1	1.401	1.319	1.209
MIROC5_r3i1p1	1.662	1.571	1.341
MPI-ESM-LR_r1i1p1	1.769	1.590	1.489
MPI-ESM-LR_r2i1p1	2.096	1.920	1.928
MPI-ESM-LR_r3i1p1	1.819	1.655	1.563
MPI-ESM-MR_r1i1p1	2.553	2.323	2.196
MRI-CGCM3_r1i1p1	2.213	2.056	1.961
MRI-ESM1_r1i1p1	1.498	1.396	1.212
NorESM1-ME_r1i1p1	1.171	1.047	0.925
NorESM1-M_r1i1p1	1.845	1.715	1.707
bcc-csm1-1_r1i1p1	1.972	1.868	1.553
inmcm4_r1i1p1	1.636	1.484	1.328
