Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	0.984	0.984	0.984
OBS_CW14	1.183	1.183	1.183
OBS_BEST	1.212	1.212	1.212
ACCESS1-0_r1i1p1	6.330	5.661	3.776
ACCESS1-3_r1i1p1	0.362	0.273	0.173
CCSM4_r1i1p1	1.420	1.316	1.023
CCSM4_r2i1p1	1.413	1.307	0.991
CCSM4_r3i1p1	1.434	1.326	0.981
CCSM4_r4i1p1	1.309	1.207	1.032
CCSM4_r5i1p1	1.488	1.353	1.074
CCSM4_r6i1p1	1.544	1.438	1.101
CESM1-BGC_r1i1p1	2.616	2.423	1.922
CESM1-CAM5_r1i1p1	1.431	1.242	0.905
CESM1-CAM5_r2i1p1	0.558	0.452	0.043
CESM1-CAM5_r3i1p1	0.437	0.343	-0.077
CMCC-CMS_r1i1p1	0.121	0.085	-0.142
CMCC-CM_r1i1p1	1.408	1.304	0.608
CNRM-CM5_r10i1p1	1.951	1.536	0.630
CNRM-CM5_r1i1p1	2.057	1.655	1.337
CNRM-CM5_r2i1p1	2.550	2.129	1.194
CNRM-CM5_r4i1p1	2.684	2.267	0.591
CNRM-CM5_r6i1p1	2.456	2.083	0.954
CSIRO-Mk3-6-0_r10i1p1	-36.068	-33.364	-18.119
CSIRO-Mk3-6-0_r1i1p1	-15.833	-14.115	-3.689
CSIRO-Mk3-6-0_r2i1p1	4.638	5.296	5.507
CSIRO-Mk3-6-0_r3i1p1	-4.393	-3.822	0.119
CSIRO-Mk3-6-0_r4i1p1	6.884	7.613	7.785
CSIRO-Mk3-6-0_r5i1p1	-4.780	-3.635	4.978
CSIRO-Mk3-6-0_r6i1p1	-16.483	-15.094	-7.627
CSIRO-Mk3-6-0_r7i1p1	-31.659	-29.498	-22.421
CSIRO-Mk3-6-0_r8i1p1	-3.632	-2.052	6.721
CSIRO-Mk3-6-0_r9i1p1	-22.987	-20.910	-16.474
CanESM2_r1i1p1	1.438	1.279	1.049
CanESM2_r2i1p1	0.586	0.483	-0.106
CanESM2_r3i1p1	1.574	1.392	1.117
CanESM2_r4i1p1	2.057	1.862	1.170
CanESM2_r5i1p1	1.709	1.585	1.099
EC-EARTH_r12i1p1	2.802	2.561	2.201
EC-EARTH_r1i1p1	2.654	2.412	2.017
EC-EARTH_r2i1p1	3.435	3.140	2.735
EC-EARTH_r8i1p1	3.208	2.940	2.581
EC-EARTH_r9i1p1	2.486	2.256	2.280
FIO-ESM_r1i1p1	2.529	2.339	2.238
FIO-ESM_r2i1p1	2.356	2.155	1.692
FIO-ESM_r3i1p1	2.900	2.682	2.244
GFDL-CM3_r1i1p1	9.201	9.142	7.151
GFDL-ESM2G_r1i1p1	0.868	0.780	0.925
GFDL-ESM2M_r1i1p1	0.883	0.791	0.727
GISS-E2-H-CC_r1i1p1	3.163	2.847	2.426
GISS-E2-H_r1i1p1	3.273	2.993	2.349
GISS-E2-H_r1i1p2	1.770	1.587	1.141
GISS-E2-H_r1i1p3	2.592	2.354	1.719
GISS-E2-H_r2i1p1	3.025	2.724	2.094
GISS-E2-H_r2i1p3	3.250	2.971	2.118
GISS-E2-R-CC_r1i1p1	2.065	1.860	1.414
GISS-E2-R_r1i1p1	1.379	1.233	1.015
GISS-E2-R_r1i1p2	1.196	1.078	0.717
GISS-E2-R_r1i1p3	1.161	1.048	0.782
GISS-E2-R_r2i1p1	1.547	1.379	1.118
GISS-E2-R_r2i1p3	1.330	1.205	1.077
HadGEM2-AO_r1i1p1	-0.024	-0.083	-0.270
HadGEM2-CC_r1i1p1	-1.361	-1.345	-1.383
HadGEM2-ES_r1i1p1	11.923	9.697	5.476
HadGEM2-ES_r2i1p1	-3.322	-4.577	-10.912
HadGEM2-ES_r3i1p1	1.216	-1.241	-8.335
HadGEM2-ES_r4i1p1	17.729	13.089	0.555
IPSL-CM5A-LR_r1i1p1	1.927	1.796	2.116
IPSL-CM5A-LR_r2i1p1	1.671	1.520	1.411
IPSL-CM5A-LR_r3i1p1	1.977	1.806	2.003
IPSL-CM5A-LR_r4i1p1	2.700	2.504	2.257
IPSL-CM5A-MR_r1i1p1	2.120	1.885	1.739
IPSL-CM5B-LR_r1i1p1	3.348	3.118	2.856
MIROC-ESM-CHEM_r1i1p1	2.204	1.978	1.224
MIROC-ESM_r1i1p1	3.347	2.935	1.262
MIROC5_r1i1p1	0.511	0.444	0.049
MIROC5_r2i1p1	1.752	1.597	0.354
MIROC5_r3i1p1	2.079	1.925	0.939
MPI-ESM-LR_r1i1p1	1.575	1.441	1.322
MPI-ESM-LR_r2i1p1	1.537	1.369	1.257
MPI-ESM-LR_r3i1p1	1.547	1.366	1.366
MPI-ESM-MR_r1i1p1	2.308	2.109	2.031
MRI-CGCM3_r1i1p1	1.719	1.594	1.310
MRI-ESM1_r1i1p1	1.607	1.460	1.132
NorESM1-ME_r1i1p1	1.043	0.950	0.545
NorESM1-M_r1i1p1	0.844	0.762	0.639
bcc-csm1-1_r1i1p1	1.709	1.732	1.611
inmcm4_r1i1p1	1.156	1.042	0.871
